"CustomerID","Country"
"13085.0","United Kingdom"
"13078.0","United Kingdom"
"15362.0","United Kingdom"
"18102.0","United Kingdom"
"12682.0","France"
"18087.0","United Kingdom"
"13635.0","United Kingdom"
"14110.0","United Kingdom"
"12636.0","USA"
"17519.0","United Kingdom"
"13758.0","United Kingdom"
"12362.0","Belgium"
"15413.0","United Kingdom"
"16321.0","Australia"
"17592.0","United Kingdom"
"16167.0","United Kingdom"
"17865.0","United Kingdom"
"13767.0","United Kingdom"
"13293.0","United Kingdom"
"17238.0","United Kingdom"
"16011.0","United Kingdom"
"13916.0","United Kingdom"
"15712.0","United Kingdom"
"15311.0","United Kingdom"
"16329.0","United Kingdom"
"15461.0","United Kingdom"
"17700.0","United Kingdom"
"14911.0","EIRE"
"15998.0","United Kingdom"
"12931.0","United Kingdom"
"15614.0","United Kingdom"
"12533.0","Germany"
"16128.0","United Kingdom"
"16714.0","United Kingdom"
"17984.0","United Kingdom"
"14748.0","United Kingdom"
"14871.0","United Kingdom"
"13394.0","United Kingdom"
"12615.0","France"
"15299.0","United Kingdom"
"16393.0","United Kingdom"
"14040.0","United Kingdom"
"15796.0","United Kingdom"
"12913.0","United Kingdom"
"15091.0","United Kingdom"
"15061.0","United Kingdom"
"14292.0","United Kingdom"
"14341.0","United Kingdom"
"17804.0","United Kingdom"
"14156.0","EIRE"
"13599.0","United Kingdom"
"13768.0","United Kingdom"
"17641.0","United Kingdom"
"17063.0","United Kingdom"
"13545.0","United Kingdom"
"16955.0","United Kingdom"
"15719.0","United Kingdom"
"12490.0","France"
"15793.0","United Kingdom"
"17056.0","United Kingdom"
"13526.0","United Kingdom"
"14654.0","United Kingdom"
"17998.0","United Kingdom"
"17742.0","United Kingdom"
"15326.0","United Kingdom"
"14478.0","United Kingdom"
"15005.0","United Kingdom"
"15967.0","United Kingdom"
"17611.0","United Kingdom"
"15051.0","United Kingdom"
"13097.0","United Kingdom"
"13590.0","United Kingdom"
"14030.0","United Kingdom"
"15984.0","United Kingdom"
"17091.0","United Kingdom"
"16887.0","United Kingdom"
"12921.0","United Kingdom"
"14621.0","United Kingdom"
"14543.0","United Kingdom"
"15945.0","United Kingdom"
"18037.0","United Kingdom"
"15662.0","United Kingdom"
"15380.0","United Kingdom"
"16422.0","United Kingdom"
"13711.0","United Kingdom"
"16150.0","United Kingdom"
"13110.0","United Kingdom"
"12836.0","United Kingdom"
"18287.0","United Kingdom"
"15254.0","United Kingdom"
"16620.0","United Kingdom"
"12758.0","Portugal"
"14558.0","United Kingdom"
"17961.0","United Kingdom"
"17485.0","United Kingdom"
"15601.0","United Kingdom"
"13585.0","United Kingdom"
"13442.0","United Kingdom"
"13381.0","United Kingdom"
"16763.0","United Kingdom"
